op_name,delta_shared,n_correct,delta_vec4
100_ConvTranspose3d_Clamp_Min_Divide,-0.0009630438286245546,41,0.0009630438286245546
100_HingeLoss,-0.46260096132755324,51,0.336437062783675
10_3D_tensor_matrix_multiplication,0.0736477378159212,39,-0.0102636486948256
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,0.04021989389116376,37,3.1202175903698084
10_ResNet101,-0.02414760766734192,32,-0.06576949520140885
11_4D_tensor_matrix_multiplication,-0.00024485041302491073,41,-0.151051687700948
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,0.12707201722166483,27,-1.1023850380619868
11_VGG16,-0.01273454918548167,32,-0.9249339672873256
12_Gemm_Multiply_LeakyReLU,0.1481626192684049,52,0.1513044971641324
12_Matmul_with_diagonal_matrices_,-2.0860223841846377,70,15.328899655299836
12_VGG19,-0.15416401807375496,28,0.5945842308483241
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,-14.79688435792923,55,0.0
13_DenseNet121TransitionLayer,0.001107022092073029,49,0.011214604865930844
13_Matmul_for_symmetric_matrices,0.1757946256889684,53,0.25009459853628435
14_DenseNet121DenseBlock,0.00026951916062945003,41,-0.05559498128534224
14_Gemm_Divide_Sum_Scaling,0.5610978437794583,43,0.0
14_Matmul_for_upper_triangular_matrices,-0.17202639832394145,45,0.07848260972249366
15_ConvTranspose3d_BatchNorm_Subtract,-0.07848822768470842,39,4.5358707067566506e-05
15_DenseNet121,-0.006860486298944535,35,-0.007735028120271492
15_Matmul_for_lower_triangular_matrices,0.21440990845672847,200,0.7894113362309001
16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling,0.20950499732125993,42,0.8668361152323862
16_DenseNet201,-0.004780929640147535,26,-0.9993313317977558
16_Matmul_with_transposed_A,0.03322921698611045,47,0.013642667789336732
17_Conv2d_InstanceNorm_Divide,1.116335391998291,40,-1.116335391998291
17_Matmul_with_transposed_B,0.027809439769655095,44,-0.1132895023916357
17_SqueezeNetFireModule,-0.01651354957000739,40,0.0990324546746224
18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,1.5448387712240237,43,-12.358710169792175
18_Matmul_with_transposed_both,0.026523800737435294,44,-0.14049712184372787
18_SqueezeNet,0.09576635882722284,42,0.18362895209004249
19_ConvTranspose2d_GELU_GroupNorm,0.08522266203062023,17,0.054551825969623824
19_MobileNetV1,0.0041288713733445,39,0.0011754477843084477
19_ReLU,0.0,53,0.0
1_Conv2D_ReLU_BiasAdd,-0.5266310941231878,37,-0.9075728606204596
1_MLP,0.1303197260280735,48,-0.4747361448165533
1_Square_matrix_multiplication_,0.2069787545618911,47,-0.05201006653316609
20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd,-0.012577104741211986,56,0.14900806300208203
20_LeakyReLU,0.0,59,0.0
21_Conv2d_Add_Scale_Sigmoid_GroupNorm,0.4052226102984222,50,-0.1791911811669098
21_Sigmoid,0.0,61,0.0
22_EfficientNetB0,-0.010748885190493551,27,-1.4246689273640556
22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish,0.690263757165873,38,0.06419863812926652
22_Tanh,0.0,53,0.0
23_Conv3d_GroupNorm_Mean,22.489494085311875,49,0.0
23_EfficientNetB1,-0.0023619554713489865,19,-1.148474245847202
23_Softmax,0.689354451263652,45,0.3027414965132873
24_Conv3d_Min_Softmax,-0.3490513745529169,36,-0.5109229065741273
24_EfficientNetB2,0.1101219561704676,22,-0.233561648115729
24_LogSoftmax,0.6700792000629008,38,0.30458145457404584
25_Conv2d_Min_Tanh_Tanh,0.13783511238500523,46,-0.11880446902730246
25_ShuffleNetUnit,-0.006010258100674903,38,-0.003528717246165547
25_Swish,0.0,53,0.0
26_ConvTranspose3d_Add_HardSwish,-0.026572187790018686,49,0.03335505558961582
26_GELU_,0.0,48,0.0
27_Conv3d_HardSwish_ReLU_Softmax_Mean,-0.10487772124692718,45,-1.1983125440536009
27_RegNet,-0.000839821054283707,34,0.003370942707975222
27_SELU_,0.0,58,0.0
28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply,2.916520150999228,28,0.5833040301998458
28_HardSigmoid,0.0,54,0.0
29_Matmul_Mish_Mish,0.0,36,-2.4655772236002473
29_Softplus,0.0,52,0.0
2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide,-0.011693890125687556,65,0.0906975392274807
2_ShallowWideMLP,0.006037833575275153,39,1.780413415587105
2_Standard_matrix_multiplication_,0.0869514879604601,44,-0.14704905760784948
30_Gemm_GroupNorm_Hardtanh,0.42891310368470015,41,-0.6980807992859163
30_Softsign,0.0,69,0.0
31_Conv2d_Min_Add_Multiply,-0.46298335708234994,45,-0.14785993685070287
31_ELU,0.0,70,0.0
32_Conv2d_Scaling_Min,-0.014183831381573198,41,-1.2198094988153094
32_HardTanh,0.0,54,0.0
33_BatchNorm,0.35318175036986965,43,0.10562028393921252
33_Gemm_Scale_BatchNorm,0.12544935998665963,41,-0.10777240471581218
33_VanillaRNN,0.0,46,0.02365606320679936
34_ConvTranspose3d_LayerNorm_GELU_Scaling,-0.0026363464666434577,49,0.020431180733385013
34_InstanceNorm,4.085448384284973,52,0.8540202837205872
34_VanillaRNNHidden,-0.8396669897308482,35,2.2396988003311193
35_Conv2d_Subtract_HardSwish_MaxPool_Mish,-0.014975255485190742,35,-1.2579214607560358
35_GroupNorm_,1.2356889039948302,48,0.14243738332803968
35_LTSM,0.009387969360116655,30,-0.008863137867378967
36_ConvTranspose2d_Min_Sum_GELU_Add,-0.01828452080149412,50,-0.03605522270984318
36_LTSMHn,-0.6965038245302391,14,-0.6965038245302391
36_RMSNorm_,-1.6565942415462769,37,-1.9160571511471745
37_FrobeniusNorm_,0.8963027837596836,56,-0.3709306120712845
37_LTSMCn,0.015455949431551153,9,0.3828411812971487
37_Matmul_Swish_Sum_GroupNorm,0.0,57,0.07216089806945458
38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply,-0.2905805017276868,36,-0.9882107582966567
38_L1Norm_,0.07424646649848343,54,0.5584349616979942
39_GRU,-1.1299527036039783,20,0.01310304728341416
39_Gemm_Scale_BatchNorm,-0.029220205164493418,32,-0.7098241619867822
39_L2Norm_,1.2165317311882973,54,0.04055105770627643
